id,type,address,number,postal_code,municipality,province,location,public,available,hours,full_address,lat,lon,new_lat,new_lon,new_province
76.0,,Rue du parc,1.0,4540,Jehay,Liège,,,,,"Rue du parc, 4540 Jehay, Liège",50.5786968,5.3257587,50.8548868892,4.39561040308,Brussels Hoofdstedelijk Gewest
118.0,,Kerkplein,1.0,3790,Moelingen,Limburg,,Y,,,"Kerkplein, 3790 Moelingen, Limburg",50.7572831,5.7107026,50.85413307016667,4.313577483516667,Brussels Hoofdstedelijk Gewest
445.0,,Nazarethsesteenweg,77.0,9800,Astene,Oost-vlaanderen,,N,,,"Nazarethsesteenweg, 9800 Astene, Oost-vlaanderen",50.9741866,3.572166,50.8099807248,4.41681175132,Brussels Hoofdstedelijk Gewest
476.0,,Cathilleweg t,38.0,8490,Jabbeke,West-vlaanderen,,,,,"Cathilleweg t, 8490 Jabbeke, West-vlaanderen",51.215602,3.0710999,50.851044733,4.3554092519,Brussels Hoofdstedelijk Gewest
572.0,,Boomkensstraat,303.0,3500,Hasselt,Limburg,,,,,"Boomkensstraat, 3500 Hasselt, Limburg",50.9225396,5.3296581,50.81032543566666,4.319345785533334,Brussels Hoofdstedelijk Gewest
623.0,,Weiveldlaan,19.0,1930,Zaventem,Vlaams-brabant,,,,,"Weiveldlaan, 1930 Zaventem, Vlaams-brabant",50.8697359,4.496495,50.84758516475,4.425895823375,Brussels Hoofdstedelijk Gewest
629.0,,Onder den toren  ,5.0,2800,Mechelen,Antwerpen,,,,,"Onder den toren  , 2800 Mechelen, Antwerpen",51.0286956,4.4781156,50.79719999999999,4.353769999999999,Brussels Hoofdstedelijk Gewest
803.0,,Rue neuve,123.0,1000,Bruxelles,Bruxelles-brussel,,,,,"Rue neuve, 1000 Bruxelles, Bruxelles-brussel",50.8527348,4.3559377,50.87709610300001,4.3408926042,Brussels Hoofdstedelijk Gewest
823.0,,Hombeeksesteenweg ,323.0,2800,Mechelen,Antwerpen,,,,,"Hombeeksesteenweg , 2800 Mechelen, Antwerpen",51.0168688,4.4658472,50.837119511,4.340102838633333,Brussels Hoofdstedelijk Gewest
824.0,,Eggestraat,1.0,2800,Mechelen,Antwerpen,,,,,"Eggestraat, 2800 Mechelen, Antwerpen",51.0155466,4.4649361,50.82309943825,4.369860541775,Brussels Hoofdstedelijk Gewest
831.0,,Avenue du général jadot,11.0,1360,Perwez,Brabant wallon,,Y,,,"Avenue du général jadot, 1360 Perwez, Brabant wallon",50.6216383,4.806159,50.8388742722,4.2925719007000005,Brussels Hoofdstedelijk Gewest
981.0,,Nelissenlaan ,13.0,3620,Lanaken,Limburg,,Y,,,"Nelissenlaan , 3620 Lanaken, Limburg",50.838479,5.6272245,50.815355299,4.270006831850001,Brussels Hoofdstedelijk Gewest
1023.0,,Rue station de redu,,6890,Redu,Luxembourg,,,,,"Rue station de redu, 6890 Redu, Luxembourg",50.0075195,5.1597629,50.8765373855,4.381597807133334,Brussels Hoofdstedelijk Gewest
1130.0,,Stationsplein,55.0,8800,Roeselare,West-vlaanderen,,Y,,,"Stationsplein, 8800 Roeselare, West-vlaanderen",50.9492425,3.1295561,50.81665,4.39924,Brussels Hoofdstedelijk Gewest
1153.0,,Entrepotstraat,2.0,9300,Sint-niklaas,Oost-vlaanderen,,Y,,,"Entrepotstraat, 9300 Sint-niklaas, Oost-vlaanderen",51.1749362,4.1664699,50.85178112344445,4.381640242944445,Brussels Hoofdstedelijk Gewest
1276.0,,Place de la gare,1.0,6724,Houdemont,Luxembourg,,Y,,,"Place de la gare, 6724 Houdemont, Luxembourg",49.815273,6.129582999999999,50.872365,4.410236666666667,Brussels Hoofdstedelijk Gewest
1290.0,,Koninginnelaan ,42.0,3630,Maasmechelen,Limburg,,,,,"Koninginnelaan , 3630 Maasmechelen, Limburg",50.9893593,5.6982069,50.837423837,4.44711935185,Brussels Hoofdstedelijk Gewest
1323.0,,Rue des biolleux,3.0,4800,Verviers,Liège,,Y,,,"Rue des biolleux, 4800 Verviers, Liège",50.6227276,5.8357882,50.85389000000001,4.334910000000001,Brussels Hoofdstedelijk Gewest
1358.0,,Leopold ii-laan,2.0,8670,Koksijde,West-vlaanderen,,Y,,,"Leopold ii-laan, 8670 Koksijde, West-vlaanderen",51.12411,2.676923,50.87546423566667,4.3167526107333325,Brussels Hoofdstedelijk Gewest
1366.0,,Breestraat,109.0,9200,Dendermonde,Oost-vlaanderen,,,,,"Breestraat, 9200 Dendermonde, Oost-vlaanderen",51.014595,4.10828,50.86122538725,4.28890460255,Brussels Hoofdstedelijk Gewest
1368.0,,Au gris han,12.0,6970,Tenneville,Luxembourg,,N,,,"Au gris han, 6970 Tenneville, Luxembourg",50.0908568,5.4891976,50.81254333333334,4.34804,Brussels Hoofdstedelijk Gewest
1447.0,,Rue large voie,74.0,4040,Herstal,Liège,,Y,,,"Rue large voie, 4040 Herstal, Liège",50.667452,5.635542,50.86831853933334,4.365875912833333,Brussels Hoofdstedelijk Gewest
1453.0,,Sportstraat,2.0,8020,Oostkamp,West-vlaanderen,,,,,"Sportstraat, 8020 Oostkamp, West-vlaanderen",51.0948586,3.2084484,50.89666998016667,4.3218465892,Brussels Hoofdstedelijk Gewest
1516.0,,Tuinbouwersstraat,89.0,1020,Brussel,Bruxelles-brussel,,N,,,"Tuinbouwersstraat, 1020 Brussel, Bruxelles-brussel",50.8824898,4.3506197,50.83789,4.3141549999999995,Brussels Hoofdstedelijk Gewest
1556.0,,Rue de waremme ,123.0,4530,Villers-le-bouillet,Liège,,,,,"Rue de waremme , 4530 Villers-le-bouillet, Liège",50.583484,5.2599935,50.828306000000005,4.395887999999999,Brussels Hoofdstedelijk Gewest
1578.0,,Maaltekouter,1.0,9051,Gent,Oost-vlaanderen,,Y,,,"Maaltekouter, 9051 Gent, Oost-vlaanderen",51.0263383,3.6891299,50.7932484545,4.3251877059499995,Brussels Hoofdstedelijk Gewest
1664.0,,Rue . delperdange,,6600,Bastogne,Luxembourg,,,,,"Rue . delperdange, 6600 Bastogne, Luxembourg",50.0074976,5.774639,50.82086,4.339015,Brussels Hoofdstedelijk Gewest
1693.0,,Rue des déportées,48.0,1367,Ramillies,Brabant wallon,,,,,"Rue des déportées, 1367 Ramillies, Brabant wallon",50.6469927,4.8766841,50.786137388499995,4.366995255625,Brussels Hoofdstedelijk Gewest
1705.0,,Boulevard de régent,54.0,1000,Bruxelles,Bruxelles-brussel,,,,,"Boulevard de régent, 1000 Bruxelles, Bruxelles-brussel",50.8390923,4.362643,50.87297077225,4.297792865725,Brussels Hoofdstedelijk Gewest
1748.0,,Place de belle-maison,2.0,4570,Marchin,Liège," entrée, gauche",,,,"Place de belle-maison, 4570 Marchin, Liège",50.4804521,5.2254359,50.82917853085714,4.4087545857,Brussels Hoofdstedelijk Gewest
1753.0,,Parklaan,3.0,9400,Ninove,Oost-vlaanderen,kassa,Y,,,"Parklaan, 9400 Ninove, Oost-vlaanderen",50.8292649,4.0196544,50.836588,4.364782000000001,Brussels Hoofdstedelijk Gewest
1771.0,,Chaussée de mons à gand,,7860,Lessines,Hainaut, fond réfectaire,,,,"Chaussée de mons à gand, 7860 Lessines, Hainaut",50.7161696,3.8510992,50.82651873966667,4.2940981924666675,Brussels Hoofdstedelijk Gewest
1797.0,,Rue de la chavée,57.0,5660,Frasnes,Namur," vestiaire, rdc, hall entrée",,,,"Rue de la chavée, 5660 Frasnes, Namur",50.0829775,4.5014117,50.8308591065,4.3776277866,Brussels Hoofdstedelijk Gewest
1900.0,,Boulevard d angleterre,,1420,Braine-l alleud,Brabant wallon,-1 fitness,,,,"Boulevard d angleterre, 1420 Braine-l alleud, Brabant wallon",50.66514,4.3789469,50.896802146750005,4.388131612275,Brussels Hoofdstedelijk Gewest
1923.0,,Rue de namur ,,4000,Liège,Liège,1ière étage,Y,,,"Rue de namur , 4000 Liège, Liège",50.6194327,5.5760172,50.81196356122222,4.434012432277778,Brussels Hoofdstedelijk Gewest
1959.0,,Veldstraat,12.0,2260,Westerlo,Antwerpen,nabij onthaal,,,,"Veldstraat, 2260 Westerlo, Antwerpen",51.1141865,4.8670459,50.83266829916666,4.352727556833333,Brussels Hoofdstedelijk Gewest
2017.0,,Rode kruislaan,20.0,2400,Mol,Antwerpen, inkomhal,,,,"Rode kruislaan, 2400 Mol, Antwerpen",51.1814899,5.1124081,50.861885,4.42534,Brussels Hoofdstedelijk Gewest
2076.0,,Willy vandensteenplein ,,2920,Kalmthout,Antwerpen,buitenkast,,,,"Willy vandensteenplein , 2920 Kalmthout, Antwerpen",51.3646335,4.4645092,50.86621,4.307826666666667,Brussels Hoofdstedelijk Gewest
2100.0,,Rue impasse herman,,4840,Welkenraedt,Liège,,,,,"Rue impasse herman, 4840 Welkenraedt, Liège",50.6568973,5.9630388,50.86370236399999,4.3305300939,Brussels Hoofdstedelijk Gewest
2108.0,,Werkhuizenkaai,,1000,Brussel,Bruxelles-brussel,"lokaal bewaking, ing markt",,,,"Werkhuizenkaai, 1000 Brussel, Bruxelles-brussel",50.8773825,4.3662051,50.805837706999995,4.337447749550001,Brussels Hoofdstedelijk Gewest
2132.0,,Weerstandsplein,2.0,3290,Diest,Vlaams-brabant,hoofdingang,,,,"Weerstandsplein, 3290 Diest, Vlaams-brabant",50.9903176,5.0517381,50.859032697857145,4.3649878091000005,Brussels Hoofdstedelijk Gewest
2141.0,,Rue traversière,21.0,1210,Bruxelles,Bruxelles-brussel,rez à coté de l incendie,,,,"Rue traversière, 1210 Bruxelles, Bruxelles-brussel",50.8540576,4.369762,50.89335129733333,4.365433340999999,Brussels Hoofdstedelijk Gewest
2146.0,,Avenue du stade,19.0,4910,Theux,Liège,2e verd,,,,"Avenue du stade, 4910 Theux, Liège",50.5401239,5.8100904,50.816063158,4.36517959605,Brussels Hoofdstedelijk Gewest
2148.0,,Kanaalweg ,112.0,3980,Tessenderlo,Limburg,buiten EHBO lokaal,,,,"Kanaalweg , 3980 Tessenderlo, Limburg",51.0751694,5.1546684,50.805040375249995,4.393740477975,Brussels Hoofdstedelijk Gewest
2185.0,,Elshoutbaan,17.0,2930,Brasschaat,Antwerpen,balie zwembad glvl,,,,"Elshoutbaan, 2930 Brasschaat, Antwerpen",51.2829151,4.5131356,50.8730108398,4.39060357316,Brussels Hoofdstedelijk Gewest
2215.0,,Avenue sergent vrithoff ,2.0,5000,Namur,Namur,hall d entrée,,,,"Avenue sergent vrithoff , 5000 Namur, Namur",50.4664425,4.8450569,50.84284000000001,4.40878,Brussels Hoofdstedelijk Gewest
