id,type,address,number,postal_code,municipality,province,location,public,available,hours,full_address,lat,lon,new_lat,new_lon,new_province,lon_mclp,lat_mclp,province_mclp
13.0,,Blvd. fr. roosevelt,24.0,7060,Soignies,Hainaut,,Y,,,"Blvd. fr. roosevelt, 7060 Soignies, Hainaut",50.5760416,4.0657403,51.061386666666664,5.072846666666667,Provincie Limburg,5.07134,51.05912,Provincie Limburg
70.0,,Ch. de wégimont,76.0,4630,Ayeneux,Liège,,,,,"Ch. de wégimont, 4630 Ayeneux, Liège",50.6076801,5.7301866,51.0381015,3.7370195,Provincie Oost-Vlaanderen,2.958684,51.0314105,Provincie West-Vlaanderen
71.0,,Place saint-lambert,,4020,Liège,Liège,,,,,"Place saint-lambert, 4020 Liège, Liège",50.6456222,5.5736201,50.83804067770589,4.443571394435295,Brussels Hoofdstedelijk Gewest,4.35018,50.451435000000004,Provincie Henegouwen
72.0,,Rue du doyard,,4990,Lierneux,Liège,,,,,"Rue du doyard, 4990 Lierneux, Liège",50.2874163,5.7863246,50.596113333333335,5.504007777777778,Provincie Luik,5.32796,49.81451666666667,Provincie Luxemburg
73.0,,Fond saint servais,,4000,Liège,Liège,,,,,"Fond saint servais, 4000 Liège, Liège",50.6468058,5.5710309,51.059662,2.8932,Provincie West-Vlaanderen,3.61773,50.59136,Provincie Henegouwen
74.0,,Rue des prémontrès,12.0,4020,Liège,Liège,,,,,"Rue des prémontrès, 4020 Liège, Liège",50.637795,5.5743458,51.224381666666666,4.41785375,Provincie Antwerpen,5.49494,50.965732,Provincie Limburg
75.0,,Route de bastogne,1.0,4920,Harzé,Liège,,,,,"Route de bastogne, 4920 Harzé, Liège",50.4377504,5.6673911,50.4166925,4.3885825,Provincie Henegouwen,4.031521571428572,50.932849000000004,Provincie Oost-Vlaanderen
76.0,,Rue du parc,1.0,4540,Jehay,Liège,,,,,"Rue du parc, 4540 Jehay, Liège",50.5786968,5.3257587,49.78141,5.47992,Provincie Luxemburg,4.698426333333334,50.881357,Provincie Vlaams-Brabant
77.0,,Blvd. de la constitution,19.0,4020,Liège,Liège,,,,,"Blvd. de la constitution, 4020 Liège, Liège",50.6441832,5.5882429,50.469811428571425,3.8424771428571423,Provincie Henegouwen,3.2185727999999996,51.1983484,Provincie West-Vlaanderen
78.0,,Place de la république française ,,4000,Liège,Liège,,,,,"Place de la république française , 4000 Liège, Liège",50.6434288,5.5718235,50.62539,3.30962,Provincie Henegouwen,3.95241,50.452762500000006,Provincie Henegouwen
79.0,,Rue darchis,33.0,4020,Liège,Liège,,,,,"Rue darchis, 4020 Liège, Liège",50.6370996,5.5649557,50.46478428571429,4.871467142857143,Provincie Namen,5.8563725,50.4907475,Provincie Luik
86.0,,Schumanplein,11.0,1040,Brussel,Bruxelles-brussel,,,,,"Schumanplein, 1040 Brussel, Bruxelles-brussel",50.8421891,4.3835297,51.1829644,3.2218804,Provincie West-Vlaanderen,5.48309,50.30415,Provincie Luxemburg
87.0,,Uitbreidingstraat,,2600,Berchem,Antwerpen,,,,,"Uitbreidingstraat, 2600 Berchem, Antwerpen",51.1967334,4.4294545,50.99638,5.521855,Provincie Limburg,2.9631689999999997,51.2481772,Provincie West-Vlaanderen
95.0,,Peperstraat,2.0,3300,Tienen,Vlaams-brabant,,Y,,,"Peperstraat, 3300 Tienen, Vlaams-brabant",50.8065188,4.9375261,50.67244,5.97371,Provincie Luik,4.616429999999999,50.263645,Provincie Namen
96.0,,Graafschap-jettelaan,2.0,1090,Brussel,Bruxelles-brussel,,,,,"Graafschap-jettelaan, 1090 Brussel, Bruxelles-brussel",50.8830257,4.3333836,51.068947875,4.030651375,Provincie Oost-Vlaanderen,4.488775,50.71558,Provincie Waals-Brabant
97.0,,Sint-pieterskerstraat,,1090,Brussel,Bruxelles-brussel,,,,,"Sint-pieterskerstraat, 1090 Brussel, Bruxelles-brussel",50.8802534,4.3250605,51.01396833333333,4.874860666666667,Provincie Vlaams-Brabant,3.1124855,50.8416435,Provincie West-Vlaanderen
98.0,,Wemmelsestweg,100.0,1090,Brussel,Bruxelles-brussel,,,,,"Wemmelsestweg, 1090 Brussel, Bruxelles-brussel",50.8747739,4.3314996,50.948286333333336,3.151406333333333,Provincie West-Vlaanderen,5.094266666666667,50.295296666666665,Provincie Namen
100.0,,Rue pietro ferrero,5.0,6700,Arlon,Luxembourg,,N,,,"Rue pietro ferrero, 6700 Arlon, Luxembourg",49.6745435,5.818557,50.803391182333336,4.333677635566667,Brussels Hoofdstedelijk Gewest,5.67284,50.942146666666666,Provincie Limburg
101.0,,Tweestationsstraat,80.0,1070,Brussel,Bruxelles-brussel,,,,,"Tweestationsstraat, 1070 Brussel, Bruxelles-brussel",50.8314212,4.3222147,51.176303,4.836287,Provincie Antwerpen,4.72335,50.997803,Provincie Vlaams-Brabant
102.0,,Nieuwe weg ,1.0,2070,Zwijndrecht,Antwerpen,,Y,,,"Nieuwe weg , 2070 Zwijndrecht, Antwerpen",51.2398636,4.3272098,50.429075,4.190321666666667,Provincie Henegouwen,4.62499,51.33414,Provincie Antwerpen
111.0,,Hermeslaan,2.0,1831,Machelenbt),Vlaams-brabant,,,,,"Hermeslaan, 1831 Machelenbt), Vlaams-brabant",50.8819608,4.441951,50.75449075,5.08557725,Provincie Vlaams-Brabant,5.50687,50.089855,Provincie Luxemburg
115.0,,Gemeenteplein,1.0,3798,Voeren  s gravenvoeren,Limburg,,Y,,,"Gemeenteplein, 3798 Voeren  s gravenvoeren, Limburg",50.7597774,5.7596643,50.8644535,4.082407833333333,Provincie Vlaams-Brabant,2.96158,50.795514999999995,Provincie Henegouwen
116.0,,Remersdaal-dorp,1.0,3791,Remersdaal,Limburg,,,,,"Remersdaal-dorp, 3791 Remersdaal, Limburg",50.7297617,5.8785602,49.681235,5.771845,Provincie Luxemburg,5.02195,49.9412,Provincie Namen
117.0,,Sint-pieterstraat ,20.0,3792,Sint-pieters-voeren,Limburg,,Y,,,"Sint-pieterstraat , 3792 Sint-pieters-voeren, Limburg",50.7353624,5.8246102,50.8819716,4.7238816,Provincie Vlaams-Brabant,3.8469135000000003,51.1657065,Provincie Oost-Vlaanderen
118.0,,Kerkplein,1.0,3790,Moelingen,Limburg,,Y,,,"Kerkplein, 3790 Moelingen, Limburg",50.7572831,5.7107026,50.9060704,3.5294778,Provincie Oost-Vlaanderen,4.1202125,50.473935,Provincie Henegouwen
119.0,,Gieveldstraat,,3793,Teuven,Limburg,,Y,,,"Gieveldstraat, 3793 Teuven, Limburg",50.7518324,5.8759546,51.04971666666667,4.463856666666667,Provincie Antwerpen,4.624105,50.719695,Provincie Waals-Brabant
120.0,,Kerkstraat,1.0,3790,Voeren,Limburg,,Y,,,"Kerkstraat, 3790 Voeren, Limburg",50.7488563,5.812563,50.273428,4.897664,Provincie Namen,4.2960765,50.735296500000004,Provincie Vlaams-Brabant
167.0,,Vanhalstraat,1.0,1500,Halle,Vlaams-brabant,,y,,,"Vanhalstraat, 1500 Halle, Vlaams-brabant",50.73248479999999,4.234912899999999,51.032785,5.270505,Provincie Limburg,4.012961333333333,51.050874666666665,Provincie Oost-Vlaanderen
170.0,,Brikkenovenstraat,48.0,3600,Genk,Limburg,,N,,,"Brikkenovenstraat, 3600 Genk, Limburg",50.9792712,5.4711585,50.27783,5.90979,Provincie Luxemburg,3.229055,51.339773,Provincie West-Vlaanderen
