,id,type,address,number,postal_code,municipality,province,location,public,available,hours,full_address,lat,lon
0,13.0,,Blvd. fr. roosevelt,24.0,7060,Soignies,Provincie Henegouwen,,Y,,,"Blvd. fr. roosevelt, 7060 Soignies, Hainaut",50.5760416,4.0657403
1,70.0,,Ch. de wégimont,76.0,4630,Ayeneux,Provincie Luik,,,,,"Ch. de wégimont, 4630 Ayeneux, Liège",50.6076801,5.7301866
2,71.0,,Place saint-lambert,,4020,Liège,Provincie Luik,,,,,"Place saint-lambert, 4020 Liège, Liège",50.6456222,5.5736201
3,72.0,,Rue du doyard,,4990,Lierneux,Provincie Luik,,,,,"Rue du doyard, 4990 Lierneux, Liège",50.2874163,5.7863246
4,73.0,,Fond saint servais,,4000,Liège,Provincie Luik,,,,,"Fond saint servais, 4000 Liège, Liège",50.6468058,5.5710309
5,74.0,,Rue des prémontrès,12.0,4020,Liège,Provincie Luik,,,,,"Rue des prémontrès, 4020 Liège, Liège",50.637795,5.5743458
6,75.0,,Route de bastogne,1.0,4920,Harzé,Provincie Luik,,,,,"Route de bastogne, 4920 Harzé, Liège",50.4377504,5.6673911
7,76.0,,Rue du parc,1.0,4540,Jehay,Provincie Luik,,,,,"Rue du parc, 4540 Jehay, Liège",50.5786968,5.3257587
8,77.0,,Blvd. de la constitution,19.0,4020,Liège,Provincie Luik,,,,,"Blvd. de la constitution, 4020 Liège, Liège",50.6441832,5.5882429
9,78.0,,Place de la république française ,,4000,Liège,Provincie Luik,,,,,"Place de la république française , 4000 Liège, Liège",50.6434288,5.5718235
10,79.0,,Rue darchis,33.0,4020,Liège,Provincie Luik,,,,,"Rue darchis, 4020 Liège, Liège",50.6370996,5.5649557
11,86.0,,Schumanplein,11.0,1040,Brussel,Brussels Hoofdstedelijk Gewest,,,,,"Schumanplein, 1040 Brussel, Bruxelles-brussel",50.8421891,4.3835297
12,87.0,,Uitbreidingstraat,,2600,Berchem,Provincie Antwerpen,,,,,"Uitbreidingstraat, 2600 Berchem, Antwerpen",51.1967334,4.4294545
13,95.0,,Peperstraat,2.0,3300,Tienen,Provincie Vlaams-Brabant,,Y,,,"Peperstraat, 3300 Tienen, Vlaams-brabant",50.8065188,4.9375261
14,96.0,,Graafschap-jettelaan,2.0,1090,Brussel,Brussels Hoofdstedelijk Gewest,,,,,"Graafschap-jettelaan, 1090 Brussel, Bruxelles-brussel",50.8830257,4.3333836
15,97.0,,Sint-pieterskerstraat,,1090,Brussel,Brussels Hoofdstedelijk Gewest,,,,,"Sint-pieterskerstraat, 1090 Brussel, Bruxelles-brussel",50.8802534,4.3250605
16,98.0,,Wemmelsestweg,100.0,1090,Brussel,Brussels Hoofdstedelijk Gewest,,,,,"Wemmelsestweg, 1090 Brussel, Bruxelles-brussel",50.8747739,4.3314996
17,100.0,,Rue pietro ferrero,5.0,6700,Arlon,Provincie Luxemburg,,N,,,"Rue pietro ferrero, 6700 Arlon, Luxembourg",49.6745435,5.818557
18,101.0,,Tweestationsstraat,80.0,1070,Brussel,Brussels Hoofdstedelijk Gewest,,,,,"Tweestationsstraat, 1070 Brussel, Bruxelles-brussel",50.8314212,4.3222147
19,102.0,,Nieuwe weg ,1.0,2070,Zwijndrecht,Provincie Antwerpen,,Y,,,"Nieuwe weg , 2070 Zwijndrecht, Antwerpen",51.2398636,4.3272098
20,111.0,,Hermeslaan,2.0,1831,Machelenbt),Provincie Vlaams-Brabant,,,,,"Hermeslaan, 1831 Machelenbt), Vlaams-brabant",50.8819608,4.441951
21,115.0,,Gemeenteplein,1.0,3798,Voeren  s gravenvoeren,Provincie Limburg,,Y,,,"Gemeenteplein, 3798 Voeren  s gravenvoeren, Limburg",50.7597774,5.7596643
22,116.0,,Remersdaal-dorp,1.0,3791,Remersdaal,Provincie Limburg,,,,,"Remersdaal-dorp, 3791 Remersdaal, Limburg",50.7297617,5.8785602
23,117.0,,Sint-pieterstraat ,20.0,3792,Sint-pieters-voeren,Provincie Limburg,,Y,,,"Sint-pieterstraat , 3792 Sint-pieters-voeren, Limburg",50.7353624,5.8246102
24,118.0,,Kerkplein,1.0,3790,Moelingen,Provincie Limburg,,Y,,,"Kerkplein, 3790 Moelingen, Limburg",50.7572831,5.7107026
25,119.0,,Gieveldstraat,,3793,Teuven,Provincie Limburg,,Y,,,"Gieveldstraat, 3793 Teuven, Limburg",50.7518324,5.8759546
26,120.0,,Kerkstraat,1.0,3790,Voeren,Provincie Limburg,,Y,,,"Kerkstraat, 3790 Voeren, Limburg",50.7488563,5.812563
27,167.0,,Vanhalstraat,1.0,1500,Halle,Provincie Vlaams-Brabant,,y,,,"Vanhalstraat, 1500 Halle, Vlaams-brabant",50.73248479999999,4.234912899999999
28,170.0,,Brikkenovenstraat,48.0,3600,Genk,Provincie Limburg,,N,,,"Brikkenovenstraat, 3600 Genk, Limburg",50.9792712,5.4711585
29,214.0,,Rue de l église,,1150,Bruxelles,Brussels Hoofdstedelijk Gewest,,,,,"Rue de l église, 1150 Bruxelles, Bruxelles-brussel",50.8407211,4.4634331
30,218.0,,Cours des mineurs,,4000,Liège,Provincie Luik,,,,,"Cours des mineurs, 4000 Liège, Liège",50.6472929,5.5760923
31,219.0,,Rue des croisiers,15.0,4000,Liège,Provincie Luik,,,,,"Rue des croisiers, 4000 Liège, Liège",50.6393547,5.5761561
32,220.0,,Rue de l école technique ,,4040,Herstal,Provincie Luik,,,,,"Rue de l école technique , 4040 Herstal, Liège",50.6715508,5.6402438
33,221.0,,Rue de wallonie,30.0,4460,Bierset,Provincie Luik,,,,,"Rue de wallonie, 4460 Bierset, Liège",50.653661,5.4888011
34,222.0,,Rue paul d andrimont,24.0,4630,Micheroux,Provincie Luik,,,,,"Rue paul d andrimont, 4630 Micheroux, Liège",50.6258166,5.7163815
35,223.0,,Bd. léon philippet,83.0,4000,Liège,Provincie Luik,,,,,"Bd. léon philippet, 4000 Liège, Liège",50.6527913,5.5594107
36,224.0,,Rue du commerce,14.0,4100,Seraing,Provincie Luik,,,,,"Rue du commerce, 4100 Seraing, Liège",50.6126943,5.5083713
37,225.0,,Rue peetermans,80.0,4100,Seraing,Provincie Luik,,,,,"Rue peetermans, 4100 Seraing, Liège",50.6117019,5.5101966
38,226.0,,Rue j. stassart,15.0,4367,Crisnée,Provincie Luik,,,,,"Rue j. stassart, 4367 Crisnée, Liège",50.7081407,5.3898948
39,227.0,,Route de dinant,119.0,4020,Liège,Provincie Luik,,,,,"Route de dinant, 4020 Liège, Liège",50.6415737,5.5823234
40,228.0,,Rue de huy,123.0,4300,Waremme,Provincie Luik,,,,,"Rue de huy, 4300 Waremme, Liège",50.6743418,5.2512582
41,229.0,,Rue de sélys,35.0,4300,Waremme,Provincie Luik,,,,,"Rue de sélys, 4300 Waremme, Liège",50.6906196,5.2420853
42,230.0,,Rue st. pierre,48.0,4500,Huy,Provincie Luik,,,,,"Rue st. pierre, 4500 Huy, Liège",50.5224312,5.2355908
43,231.0,,Avenue delchambre,6.0,4500,Huy,Provincie Luik,,,,,"Avenue delchambre, 4500 Huy, Liège",50.5212782,5.2402073
44,232.0,,Rue lambert marlet,23.0,4020,Liège,Provincie Luik,,,,,"Rue lambert marlet, 4020 Liège, Liège",50.6844201,5.7233941
45,233.0,,Rue aux laines,69.0,4800,Verviers,Provincie Luik,,,,,"Rue aux laines, 4800 Verviers, Liège",50.5891081,5.8515833
46,234.0,,Rue av. peltzer,40.0,4020,Liège,Provincie Luik,,,,,"Rue av. peltzer, 4020 Liège, Liège",50.6423532,5.6279411
47,235.0,,Route du canada,157.0,4910,La reid,Provincie Luik,,,,,"Route du canada, 4910 La reid, Liège",50.4893888,5.790589
48,238.0,,Route de botrange,131.0,4950,Robertville,Provincie Luik,,,,,"Route de botrange, 4950 Robertville, Liège",50.4907832,6.1058516
49,240.0,,Avenue montesquieu,6.0,4101,Jemeppe-sur-meuse,Provincie Luik,,,,,"Avenue montesquieu, 4101 Jemeppe-sur-meuse, Liège",50.6189796,5.5151582
50,242.0,,Rue grand puits,,4040,Herstal,Provincie Luik,,,,,"Rue grand puits, 4040 Herstal, Liège",50.6716874,5.6393763
51,259.0,,Rue de la bouviere,1.0,4190,Vieuxville,Provincie Luik,,,,,"Rue de la bouviere, 4190 Vieuxville, Liège",50.39379,5.54955
52,275.0,,Da vincilaan,,1930,Zaventem,Provincie Vlaams-Brabant,,,,,"Da vincilaan, 1930 Zaventem, Vlaams-brabant",50.8892246,4.4591702
53,277.0,Appareil Mobile- Mobiel apparaat,Adriaan brouwerstraat,24.0,2000,Antwerpen,Provincie Antwerpen,,,,,"Adriaan brouwerstraat, 2000 Antwerpen, Antwerpen",51.2275756,4.4034814
54,282.0,,Kempenarestraat,53.0,2860,Sint-katelijne-waver,Provincie Antwerpen,,Y,,,"Kempenarestraat, 2860 Sint-katelijne-waver, Antwerpen",51.0640782,4.5193812
55,310.0,,Koninginnelaan,1.0,8400,Oostende,Provincie West-Vlaanderen,,,,,"Koninginnelaan, 8400 Oostende, West-vlaanderen",51.2226732,2.9116038
56,311.0,,Northlaan,13.0,8400,Oostende,Provincie West-Vlaanderen,,,,,"Northlaan, 8400 Oostende, West-vlaanderen",51.2180627,2.8892599
57,312.0,,Kursaal-oosthelling,12.0,8400,Oostende,Provincie West-Vlaanderen,,,,,"Kursaal-oosthelling, 8400 Oostende, West-vlaanderen",51.232146,2.9126781
58,313.0,,Leopold van tyghemlaan,62.0,8400,Oostende,Provincie West-Vlaanderen,,,,,"Leopold van tyghemlaan, 8400 Oostende, West-vlaanderen",51.2162365,2.8874038
59,315.0,,Wetstraat,23.0,1040,Brussel,Brussels Hoofdstedelijk Gewest,,,,,"Wetstraat, 1040 Brussel, Bruxelles-brussel",50.8436372,4.377997
60,316.0,,Grotesteenweg-noord,9.0,9052,Gent,Provincie Oost-Vlaanderen,,,,,"Grotesteenweg-noord, 9052 Gent, Oost-vlaanderen",51.0132601,3.7058792
61,317.0,,Kunstlaan,16.0,3500,Hasselt,Provincie Limburg,,,,,"Kunstlaan, 3500 Hasselt, Limburg",50.9270688,5.3454196
62,318.0,,Interleuvenlaan ,58.0,3001,Leuven,Provincie Vlaams-Brabant,,,,,"Interleuvenlaan , 3001 Leuven, Vlaams-brabant",50.8507187,4.7303674
63,319.0,,Sint-katelijnestraat ,154.0,2800,Mechelen,Provincie Antwerpen,,,,,"Sint-katelijnestraat , 2800 Mechelen, Antwerpen",51.0317768,4.4766294
64,320.0,,Hof ter weze,1.0,8800,Roeselare,Provincie West-Vlaanderen,,,,,"Hof ter weze, 8800 Roeselare, West-vlaanderen",50.92374,3.11918
65,321.0,,Patersstraat,100.0,2300,Turnhout,Provincie Antwerpen,,,,,"Patersstraat, 2300 Turnhout, Antwerpen",51.3262867,4.9494814
66,323.0,,Interleuven,58.0,3001,Leuven,Provincie Vlaams-Brabant,,,,,"Interleuven, 3001 Leuven, Vlaams-brabant",50.8826624,4.6967705
67,328.0,, ingelmunstersteenweg,11.0,8760,Meulebeke,Provincie West-Vlaanderen,,,,," ingelmunstersteenweg, 8760 Meulebeke, West-vlaanderen",50.9444025,3.2766949
68,335.0,,Chaussée de haecht,1405.0,1130,Bruxelles,Brussels Hoofdstedelijk Gewest,,,,,"Chaussée de haecht, 1130 Bruxelles, Bruxelles-brussel",50.8812591,4.4160117
69,341.0,,Avenue du bois st. jean,21.0,4000,Liège,Provincie Luik,,,,,"Avenue du bois st. jean, 4000 Liège, Liège",50.5788411,5.5554202
70,344.0,,Keienpoelweg,6.0,3300,Tienen,Provincie Vlaams-Brabant,,Y,,,"Keienpoelweg, 3300 Tienen, Vlaams-brabant",50.7953429,4.9902691
71,346.0,,Avenue de gaulle,2.0,7500,Tournai,Provincie Henegouwen,,Y,,,"Avenue de gaulle, 7500 Tournai, Hainaut",50.6058876,3.3782135
72,349.0,,Haven 1968 sint annalaan ,1.0,9130,Kallo,Provincie Oost-Vlaanderen,,Y,,,"Haven 1968 sint annalaan , 9130 Kallo, Oost-vlaanderen",51.2881745,4.2892698
73,354.0,,Bld leopold ii,44.0,1080,Bruxelles,Brussels Hoofdstedelijk Gewest,,,,,"Bld leopold ii, 1080 Bruxelles, Bruxelles-brussel",50.860875,4.3386838
74,355.0,,Adolphe lavallée,1.0,1080,Bruxelles,Brussels Hoofdstedelijk Gewest,,,,,"Adolphe lavallée, 1080 Bruxelles, Bruxelles-brussel",50.8589961,4.3419258
75,356.0,,Bld. du jardin botanique,,1000,Bruxelles,Brussels Hoofdstedelijk Gewest,,,,,"Bld. du jardin botanique, 1000 Bruxelles, Bruxelles-brussel",50.8546109,4.3606333
76,357.0,,Ch. st-joseph,4.0,1440,Braine-le-château,Provincie Waals-Brabant,,,,,"Ch. st-joseph, 1440 Braine-le-château, Brabant wallon",50.6715622,4.3055208
77,358.0,,Rue des boignées,13.0,1440,Wauthier-braine,Provincie Waals-Brabant,,,,,"Rue des boignées, 1440 Wauthier-braine, Brabant wallon",50.6737108,4.3023311
78,359.0,,Rue de l institut,8.0,6040,Jumet,Provincie Henegouwen,,,,,"Rue de l institut, 6040 Jumet, Hainaut",50.44272489999999,4.4370311
79,360.0,,Rue de bricgniot,196.0,5002,Saint-servais,Provincie Namen,,,,,"Rue de bricgniot, 5002 Saint-servais, Namur",50.4818182,4.8266295
80,361.0,,Rue sur les bois,113.0,4870,Fraipont,Provincie Luik,,,,,"Rue sur les bois, 4870 Fraipont, Liège",50.5608393,5.746647
81,362.0,,Rue de l hydrion 108l,108.0,6700,Arlon,Provincie Luxemburg,,,,,"Rue de l hydrion 108l, 6700 Arlon, Luxembourg",49.6836918,5.7942668
82,364.0,,Place des sports,3.0,1348,Louvain-la-neuve,Provincie Waals-Brabant,,,,,"Place des sports, 1348 Louvain-la-neuve, Brabant wallon",50.670199,4.6014444
83,365.0,,Rue de la marlette,3.0,7180,Seneffe,Provincie Henegouwen,,,,,"Rue de la marlette, 7180 Seneffe, Hainaut",50.5083586,4.2686247
84,366.0,,Av. de la sapinette,3.0,7000,Mons,Provincie Henegouwen,,,,,"Av. de la sapinette, 7000 Mons, Hainaut",50.4668862,3.9417508
85,367.0,,Av. du lac ,56.0,7640,Antoing,Provincie Henegouwen,,,,,"Av. du lac , 7640 Antoing, Hainaut",50.5455338,3.4469539
86,368.0,,Av. amédée hesse,41.0,4900,Spa,Provincie Luik,,,,,"Av. amédée hesse, 4900 Spa, Liège",50.4980027,5.8808452
87,369.0,,Ile de campana,,4030,Grivegnée,Provincie Luik,,,,,"Ile de campana, 4030 Grivegnée, Liège",50.5979533,5.592257099999999
88,370.0,,Allée des sports,63.0,4000,Liège,Provincie Luik,,,,,"Allée des sports, 4000 Liège, Liège",50.5772729,5.5690988
89,371.0,,Allée du stade,3.0,5100,Jambes,Provincie Namen,,,,,"Allée du stade, 5100 Jambes, Namur",50.4564594,4.8739337
90,372.0,,Rue chéravoie,2.0,6840,Neufchâteau,Provincie Luxemburg,,,,,"Rue chéravoie, 6840 Neufchâteau, Luxembourg",49.8408789,5.4334105
91,373.0,,Site de l eau d heure,4.0,6440,Froidchapelle,Provincie Henegouwen,,,,,"Site de l eau d heure, 6440 Froidchapelle, Hainaut",50.1857528,4.3823302
92,374.0,,Allée des sports,12.0,6280,Loverval,Provincie Henegouwen,,,,,"Allée des sports, 6280 Loverval, Hainaut",50.3708294,4.4721495
93,375.0,,Rue du liry,21.0,6810,Chiny,Provincie Luxemburg,,,,,"Rue du liry, 6810 Chiny, Luxembourg",49.7371728,5.3463578
94,376.0,,Chée de wavre,2057.0,1160,Bruxelles,Brussels Hoofdstedelijk Gewest,,,,,"Chée de wavre, 1160 Bruxelles, Bruxelles-brussel",50.821486,4.4066304
95,377.0,,Av. mounier,87.0,1200,Bruxelles,Brussels Hoofdstedelijk Gewest,,,,,"Av. mounier, 1200 Bruxelles, Bruxelles-brussel",50.8507765,4.4537123
96,378.0,,Rue des grives,53.0,1070,Bruxelles,Brussels Hoofdstedelijk Gewest,,,,,"Rue des grives, 1070 Bruxelles, Bruxelles-brussel",50.8165794,4.2971445
97,379.0,,Omer vanaudenhovelaan,48.0,3290,Diest,Provincie Vlaams-Brabant,,Y,,,"Omer vanaudenhovelaan, 3290 Diest, Vlaams-brabant",50.9856745,5.0621823
98,380.0,,Fabriekstraat,,3980,Tessenderlo,Provincie Limburg,,,,,"Fabriekstraat, 3980 Tessenderlo, Limburg",50.818084,5.1730648
99,381.0,,Pastorijstraat ,118.0,3300,Tienen,Provincie Vlaams-Brabant,,Y,,,"Pastorijstraat , 3300 Tienen, Vlaams-brabant",50.7886517,4.9198733
100,383.0,,Brand whitlocklaan,165.0,1200,Brussel,Brussels Hoofdstedelijk Gewest,,,,,"Brand whitlocklaan, 1200 Brussel, Bruxelles-brussel",50.8422687,4.4061025
101,384.0,,Gobelinstraat,3.0,9700,Oudenaarde,Provincie Oost-Vlaanderen,,,,,"Gobelinstraat, 9700 Oudenaarde, Oost-vlaanderen",50.8483672,3.6026861
102,385.0,,Kolonel begaultlaan ,15.0,3012,Wilsele,Provincie Vlaams-Brabant,,,,,"Kolonel begaultlaan , 3012 Wilsele, Vlaams-brabant",50.8958652,4.7062523
103,387.0,,Beeldhouwkunstlaan,,1700,Dilbeek,Provincie Vlaams-Brabant,,N,,,"Beeldhouwkunstlaan, 1700 Dilbeek, Vlaams-brabant",50.84208,4.2795
104,389.0,,Kapelstraat,100.0,9100,Sint-niklaas,Provincie Oost-Vlaanderen,,Y,,,"Kapelstraat, 9100 Sint-niklaas, Oost-vlaanderen",51.1507477,4.1539129
105,390.0,,Vierwegstraat,194.0,8800,Roeselare,Provincie West-Vlaanderen,,,,,"Vierwegstraat, 8800 Roeselare, West-vlaanderen",50.949417,3.1488381
106,396.0,,Paderstraat ,158.0,8620,Nieuwpoort,Provincie West-Vlaanderen,,,,,"Paderstraat , 8620 Nieuwpoort, West-vlaanderen",51.1153091,2.772014
107,398.0,,Haarlebeek,3.0,2275,Lille,Provincie Antwerpen,,,,,"Haarlebeek, 2275 Lille, Antwerpen",51.2835329,4.827163
108,399.0,,Pedro colomalaan,25.0,2880,Bornem,Provincie Antwerpen,,,,,"Pedro colomalaan, 2880 Bornem, Antwerpen",51.0921553,4.2518637
109,403.0,,Parc industriel zone a,,7011,Ghlin,Provincie Henegouwen,,,,,"Parc industriel zone a, 7011 Ghlin, Hainaut",50.4795587,3.8959785
110,404.0,,Wiemesmeerstraat ,105.0,3600,Genk,Provincie Limburg,,Y,,,"Wiemesmeerstraat , 3600 Genk, Limburg",50.9803234,5.5471722
111,407.0,,Schurhovenveld ,4820.0,3800,Sint-truiden,Provincie Limburg,,,,,"Schurhovenveld , 3800 Sint-truiden, Limburg",50.8019192,5.2202655
112,409.0,,Vlasland,4.0,2260,Westerlo,Provincie Antwerpen,,Y,,,"Vlasland, 2260 Westerlo, Antwerpen",51.0958701,4.8698926
113,411.0,,Vlieghavenlaan,50.0,3140,Keerbergen,Provincie Vlaams-Brabant,,,,,"Vlieghavenlaan, 3140 Keerbergen, Vlaams-brabant",51.0047679,4.6706963
114,414.0,,Slachthuislaan,74.0,2060,Antwerpen,Provincie Antwerpen,,,,,"Slachthuislaan, 2060 Antwerpen, Antwerpen",51.2316399,4.4338623
115,415.0,,Elzen,145.0,3920,Lommel,Provincie Limburg,,,,,"Elzen, 3920 Lommel, Limburg",51.2552993,5.3272894
116,417.0,,Arianelaan,5.0,1200,Brussel,Brussels Hoofdstedelijk Gewest,,,,,"Arianelaan, 1200 Brussel, Bruxelles-brussel",50.85818,4.43229
117,418.0,,Stift,2.0,3960,Bree,Provincie Limburg,,,,,"Stift, 3960 Bree, Limburg",51.1445658,5.5974651
118,419.0,,Katjeswilgenlaan ,,3010,Kessel-lo,Provincie Vlaams-Brabant,,N,,,"Katjeswilgenlaan , 3010 Kessel-lo, Vlaams-brabant",50.8936461,4.7186837
119,420.0,,Weerstandlaan,24.0,2660,Hoboken,Provincie Antwerpen,,,,,"Weerstandlaan, 2660 Hoboken, Antwerpen",51.1862705,4.3705094
120,421.0,,Citadelpark ,,9000,Gent,Provincie Oost-Vlaanderen,,,,,"Citadelpark , 9000 Gent, Oost-vlaanderen",51.0390299,3.7237006
121,422.0,,Citadelpark ,,9000,Gent,Provincie Oost-Vlaanderen,,,,,"Citadelpark , 9000 Gent, Oost-vlaanderen",51.0390299,3.7237006
122,423.0,,Citadelpark ,,9000,Gent,Provincie Oost-Vlaanderen,,,,,"Citadelpark , 9000 Gent, Oost-vlaanderen",51.0390299,3.7237006
123,424.0,,Citadelpark ,,9000,Gent,Provincie Oost-Vlaanderen,,,,,"Citadelpark , 9000 Gent, Oost-vlaanderen",51.0390299,3.7237006
124,425.0,,Citadelpark ,,9000,Gent,Provincie Oost-Vlaanderen,,,,,"Citadelpark , 9000 Gent, Oost-vlaanderen",51.0390299,3.7237006
125,427.0,,Tervuursevest,101.0,3001,Heverlee,Provincie Vlaams-Brabant,,,,,"Tervuursevest, 3001 Heverlee, Vlaams-brabant",50.8693841,4.6908514
126,428.0,,Speiestraat,32.0,8940,Wervik,Provincie West-Vlaanderen,,N,,,"Speiestraat, 8940 Wervik, West-vlaanderen",50.780152,3.0487826
