name_hospital,province,lat,lon
Az Rivierenland Rumst,Antwerpen/Anvers,51.1064835,4.371312
Az Sint-Vincentius,Oost-Vlaanderen/Flandre orientale,50.98608160000001,3.5280189
Ziekenhuisnetwerk Antwerpen (Zna),Antwerpen/Anvers,51.1817753,4.4212415
Heilig Hart Ziekenhuis,Antwerpen/Anvers,,
Heilig Hart Ziekenhuis,Antwerpen/Anvers,51.1870839,5.11425
Vitaz,Oost-Vlaanderen/Flandre orientale,48.97116519999999,20.9546432
Onze-Lieve-Vrouw Ziekenhuis,Vlaams Brabant/Brabant flamand,50.94313409999999,4.0554168
Az Sint-Jan Brugge - Oostende,West-Vlaanderen/Flandre occidentale,51.2201147,3.1934588
Az Sint-Lucas,West-Vlaanderen/Flandre occidentale,51.1851255,3.2491382
Az Zeno,West-Vlaanderen/Flandre occidentale,51.327595,3.2912258
Ziekenhuis Oost-Limburg,Limburg/Limbourg,50.9570769,5.5180371
Uz Leuven,Vlaams Brabant/Brabant flamand,50.8790552,4.6717377
Hopitaux Iris Sud,,50.8349346,4.389242299999999
Chu Saint-Pierre,,50.83433890000001,4.3471366
Universitair Ziekenhuis Brussel,,50.8878137,4.308604
Grand Hopital De Charleroi,Henegouwen/Hainaut,50.4179153,4.4539194
C.H.U. Ambroise Pare,Henegouwen/Hainaut,50.4575635,3.9630702
Chr Sambre Et Meuse (Site Meuse),Namen/Namur,49.0824319,5.282399700000001
Clinique Andre Renard,Luik/Liège,50.6747785,5.6334453
Hopital De La Citadelle,Luik/Liège,50.6519752,5.576939400000001
Chr Verviers - East Belgium,Luik/Liège,50.5825055,5.8598157
Centre Hospitalier Reine Astrid,Luik/Liège,50.4261165,6.023917
Vivalia - Hopital Arlon Et Virton,Luxemburg/Luxembourg,49.56726279999999,5.531372999999999
Vivalia - Centre Hospitalier Centre Ardenne,Luxemburg/Luxembourg,49.9253759,5.380328599999999
Ziekenhuisnetwerk Antwerpen (Zna),Antwerpen,51.2313796,4.415252
Gza-Ziekenhuizen,Antwerpen,51.2060094,4.4126797
Az Monica,Antwerpen,51.2063667,4.4702018
Ziekenhuisnetwerk Antwerpen (Zna),Antwerpen,51.183318,4.4215846
Gza-Ziekenhuizen,Antwerpen,51.17522349999999,4.4166534
Ziekenhuisnetwerk Antwerpen (Zna),Antwerpen,51.2588675,4.4514227
Az Klina,Antwerpen,51.2997041,4.489003299999999
Universitair Ziekenhuis Antwerpen,Antwerpen,51.1549925,4.4117088
Az Herentals,Antwerpen,51.1846342,4.8356473
Az Turnhout,Antwerpen,51.3133559,4.941332099999999
Az Voorkempen,Antwerpen,51.2742932,4.6444488
Ziekenhuis Geel,Antwerpen,51.159778,5.000853999999999
Heilig Hart Ziekenhuis ,Antwerpen,51.1325065,4.5640463
Az Sint-Maarten,Antwerpen,51.0521063,4.4751994
Imelda  Ziekenhuis,Antwerpen,51.0173887,4.5602291
Universitair Ziekenhuis Gent,Oost-vlaanderen,51.0257109,3.7281612
Az Sint-Lucas,Oost-vlaanderen,51.0618537,3.7215097
Az Jan Palfijn,Oost-vlaanderen,51.0492296,3.7002086
Vitaz,Oost-vlaanderen,51.1621435,4.1501763
Az Sint-Blasius,Oost-vlaanderen,51.0260217,4.1139549
Onze-Lieve-Vrouw Ziekenhuis,Oost-vlaanderen,50.9438949,4.0539701
A.S.Z.-Autonome Verzorgingsinstelling,Oost-vlaanderen,50.93486979999999,4.0181449
A.S.Z.-Autonome Verzorgingsinstelling,Oost-vlaanderen,50.770777,3.8772983
Az Glorieux,Oost-vlaanderen,50.7535563,3.6075352
Az Sint-Elisabeth,Oost-vlaanderen,50.8643014,3.8165937
Az Oudenaarde,Oost-vlaanderen,50.8426069,3.6014671
Az Alma,Oost-vlaanderen,51.1908238,3.5328549
Az Sint-Jan,West-vlaanderen,51.2201159,3.1934726
Az Oostende ,West-vlaanderen,51.2189802,2.9333611
Az Groeninge,West-vlaanderen,50.8015682,3.2651711
Az West,West-vlaanderen,51.0621679,2.6685368
Sint-Andries Ziekenhuis,West-vlaanderen,51.0023637,3.3234085
Az Delta,West-vlaanderen,50.9181452,3.170313
Az Delta,West-vlaanderen,51.0702103,3.0954776
Jan Yperman Ziekenhuis,West-vlaanderen,50.8649802,2.8975616
Az Delta,West-vlaanderen,50.7927247,3.1225338
Sint-Trudo Ziekenhuis,Limburg,50.8234022,5.1860706
Jessa Ziekenhuis,Limburg,50.9259632,5.3420969
Sint-Franciscus Ziekenhuis,Limburg,51.0461409,5.3172668
Ziekenhuis Oost-Limburg,Limburg,50.95715089999999,5.5177577
Ziekenhuis Oost-Limburg,Limburg,51.1015225,5.7683276
Az Vesalius,Limburg,50.7891128,5.4836272
Noorderhart,Limburg,51.2121818,5.4170402
Algemeen Ziekenhuis Sint-Maria,Vlaams-brabant,50.7350955,4.2284849
Uz Leuven,Vlaams-brabant,50.8782805,4.668996
Az Jan Portaels,Vlaams-brabant,50.9276494,4.4152496
Rz Heilig Hart Tienen,Vlaams-brabant,50.8113342,4.9334815
Az Diest,Vlaams-brabant,50.988508,5.0509244
Uvc Brugmann,Brussels hoofdstedelijk gewest,50.8706495,4.3870214
Erasmusziekenhuis (Ulb),Brussels hoofdstedelijk gewest,50.8146058,4.267040199999999
Umc Sint-Pieter,Brussels hoofdstedelijk gewest,50.83422359999999,4.3472456
Universitair Ziekenhuis St. Luc (Ucl),Brussels hoofdstedelijk gewest,50.8529343,4.4520088
Europaziekenhuizen ,Brussels hoofdstedelijk gewest,50.805155,4.3685449
Universitair Ziekenhuis Brussel,Brussels hoofdstedelijk gewest,50.8876195,4.3069316
Kliniek Sint-Jan,Brussels hoofdstedelijk gewest,50.8544225,4.3604063
Chirec-Delta,Brussels hoofdstedelijk gewest,50.8163956,4.3989398
Iris Ziekenhuizen Zuid ,Brussels hoofdstedelijk gewest,50.8251858,4.3787626
Clinique Saint Pierre,Waals-brabant,50.6680449,4.560548
Groupe Jolimont ,Waals-brabant,50.5953543,4.3177933
Chirec-Sare,Waals-brabant,50.6850598,4.3663839
Chu Ambroise Pare,Henegouwen,50.4579207,3.960965
Groupe Jolimont ,Henegouwen,50.4542577,3.9600001
Clinique Notre-Dame De Grace,Henegouwen,50.4743856,4.427354999999999
Chu Tivoli,Henegouwen,50.47791669999999,4.2076027
Groupe Jolimont ,Henegouwen,50.4777496,4.2153974
Centre Hospitalier Epicura,Henegouwen,50.4404429,3.8444085
Groupe Jolimont,Henegouwen,50.4173699,3.8069967
Chwapi,Henegouwen,50.6000685,3.385366
Centre Hospitalier De Mouscron,Henegouwen,50.7489153,3.2200055
Centre Hospitalier Epicura,Henegouwen,50.6347793,3.7765423
Grand Hopital De Charleroi,Henegouwen,50.4179332,4.453585800000001
Chr Haute Senne,Henegouwen,50.5822555,4.0790582
Centre De Sante Des Fagnes,Henegouwen,50.04575089999999,4.313685899999999
Chu Charleroi-Andre Vesale,Henegouwen,50.3619357,4.3642107
Groupe Jolimont,Henegouwen,50.34589709999999,4.2606331
Chu Charleroi,Henegouwen,50.4409405,4.4380044
Chr Sambre Et Meuse,Namen,50.467548,4.887639399999999
Chr Sambre Et Meuse,Namen,50.4352364,4.6272992
Chu-Ucl Namur,Namen,50.2644081,4.9434189
Chu-Ucl Namur,Namen,50.3589091,4.8809781
Hopital De La Citadelle,Luik,50.6547005,5.5733779
Chu De Liege,Luik,50.6225226,5.6363809
Centre Hospitalier Bois De L'Abbaye,Luik,50.5808245,5.4937605
Groupe Sante Chc,Luik,50.6477958,5.5344905
Groupe Sante Chc ,Luik,50.6947542,5.247888199999999
Centre Hospitalier Regional De Huy,Luik,50.51418289999999,5.239815699999999
St.-Nikolaus Hospital,Lüttich,50.6290832,6.0293993
Klinik St.-Josef,Lüttich,50.278201,6.126905499999999
Chr Verviers-East Belgium,Luik,50.5824901,5.859809
Vivalia ,Luxemburg,50.1591335,5.6831144
Vivalia ,Luxemburg,49.6780956,5.8206915
Vivalia ,Luxemburg,49.9251862,5.381384
Vivalia ,Luxemburg,50.2278195,5.3233301
