unit,campus,province,region,unit_id,ambucode,ambusitecode,link,hospital_name,campus_name,lat,lon
"100001: PIT Rumst, AZ Rivierland",Ziekenhuis/Hôpital: 104 - AZ RIVIERENLAND --- Campus/Site: 1270 - RUMST,Antwerpen/Anvers,Vlaanderen/Flandre,PARUMS01A,191,19101,,Az Rivierenland Rumst,Rumst,51.1064835,4.371312
"102001: PIT Deinze, St Vincentius ",Ziekenhuis/Hôpital: 134 - AZ SINT-VINCENTIUS --- Campus/Site: 1830 - AZ SINT-VINCENTIUS DEINZE,Oost-Vlaanderen/Flandre orientale,Vlaanderen/Flandre,PODEIN01A,413,41301,,Az Sint-Vincentius,Az Sint-Vincentius Deinze,50.98608160000001,3.5280189
102101: PIT Stuivenberg,Ziekenhuis/Hôpital: 009 - ZIEKENHUISNETWERK ANTWERPEN (ZNA) --- Campus/Site: 1180 - ZNA STUIVENBERG,Antwerpen/Anvers,Vlaanderen/Flandre,PAANTW01A,117,11704,,Ziekenhuisnetwerk Antwerpen (Zna),Zna Stuivenberg,51.1817753,4.4212415
"110001: PIT Lier, Heilig Hart",Ziekenhuis/Hôpital: 097 - HEILIG HART ZIEKENHUIS --- Campus/Site: 1260 - HEILIG HART,Antwerpen/Anvers,Vlaanderen/Flandre,PALIER01A,171,17101,,Heilig Hart Ziekenhuis,Heilig Hart,,
113001: PIT HEILIG HART ZIEKENHUIS,Ziekenhuis/Hôpital: 102 - HEILIG HART ZIEKENHUIS --- Campus/Site: 2080 - HEILIG HART ZIEKENHUIS MOL,Antwerpen/Anvers,Vlaanderen/Flandre,PAMOL_01A,190,19001,,Heilig Hart Ziekenhuis,Heilig Hart Ziekenhuis Mol,51.1870839,5.11425
200001: PIT LOKEREN,Ziekenhuis/Hôpital: 595 - VITAZ --- Campus/Site: 1650 - VITAZ CAMPUS LOKEREN,Oost-Vlaanderen/Flandre orientale,Vlaanderen/Flandre,POLOKE01A,440,44001,,Vitaz,Vitaz Campus Lokeren,48.97116519999999,20.9546432
"210001: PIT ASSE, OLV",Ziekenhuis/Hôpital: 126 - ONZE-LIEVE-VROUW ZIEKENHUIS --- Campus/Site: 1300 - OLV ZIEKENHUIS ASSE,Vlaams Brabant/Brabant flamand,Vlaanderen/Flandre,PVASSE01A,480,48001,,Onze-Lieve-Vrouw Ziekenhuis,Olv Ziekenhuis Asse,50.94313409999999,4.0554168
301001: PIT ST Jan (Associatie St Lucas),Ziekenhuis/Hôpital: 049 - AZ SINT-JAN BRUGGE - OOSTENDE --- Campus/Site: 1010 - AZ SINT-JAN BRUGGE,West-Vlaanderen/Flandre occidentale,Vlaanderen/Flandre,PWBRUG01A,391,39102,"PIT 301001 gelinkt aan de ziekenhuizen/lié aux hôpitaux: 
049 - AZ SINT-JAN BRUGGE - OOSTENDE --- Campus/Site: 1010 - AZ SINT-JAN BRUGGE
140 - AZ SINT-LUCAS --- Campus/Site: 1000 - SINT- LUCAS",Az Sint-Jan Brugge - Oostende,Az Sint-Jan Brugge,51.2201147,3.1934588
301001: PIT St Lucas Brugge (associatie St Jan),Ziekenhuis/Hôpital: 140 - AZ SINT-LUCAS --- Campus/Site: 1000 - SINT- LUCAS,West-Vlaanderen/Flandre occidentale,Vlaanderen/Flandre,PWBRUG02A,391,39101,"PIT 301001 gelinkt aan de ziekenhuizen/lié aux hopitaux:
049 - AZ SINT-JAN BRUGGE - OOSTENDE --- Campus/SIte: 1010 - AZ SINT-JAN BRUGGE
140 - AZ SINT-LUCAS --- Campus/Site: 1000 - SINT- LUCAS",Az Sint-Lucas,Sint- Lucas,51.1851255,3.2491382
303001: PIT Blankenberge,Ziekenhuis/Hôpital: 392 - AZ ZENO --- Campus/Site: 1040 - AZ ZENO BLANKENBERGE,West-Vlaanderen/Flandre occidentale,Vlaanderen/Flandre,PWBLAN01A,374,37401,,Az Zeno,Az Zeno Blankenberge,51.327595,3.2912258
