id,type,address,number,postal_code,municipality,province,location,public,available,hours,full_address,lat,lon,new_lat,new_lon,new_province
13.0,,Blvd. fr. roosevelt,24.0,7060,Soignies,Hainaut,,Y,,,"Blvd. fr. roosevelt, 7060 Soignies, Hainaut",50.5760416,4.0657403,50.92432,5.25369,Provincie Limburg
70.0,,Ch. de wégimont,76.0,4630,Ayeneux,Liège,,,,,"Ch. de wégimont, 4630 Ayeneux, Liège",50.6076801,5.7301866,50.892865,4.0756185,Provincie Oost-Vlaanderen
71.0,,Place saint-lambert,,4020,Liège,Liège,,,,,"Place saint-lambert, 4020 Liège, Liège",50.6456222,5.5736201,51.183575,3.141258,Provincie West-Vlaanderen
72.0,,Rue du doyard,,4990,Lierneux,Liège,,,,,"Rue du doyard, 4990 Lierneux, Liège",50.2874163,5.7863246,50.41584,4.876835,Provincie Namen
73.0,,Fond saint servais,,4000,Liège,Liège,,,,,"Fond saint servais, 4000 Liège, Liège",50.6468058,5.5710309,51.159505,4.485365,Provincie Antwerpen
74.0,,Rue des prémontrès,12.0,4020,Liège,Liège,,,,,"Rue des prémontrès, 4020 Liège, Liège",50.637795,5.5743458,50.58570666666667,5.496453333333333,Provincie Luik
75.0,,Route de bastogne,1.0,4920,Harzé,Liège,,,,,"Route de bastogne, 4920 Harzé, Liège",50.4377504,5.6673911,50.464937500000005,4.2554475,Provincie Henegouwen
76.0,,Rue du parc,1.0,4540,Jehay,Liège,,,,,"Rue du parc, 4540 Jehay, Liège",50.5786968,5.3257587,50.8548868892,4.39561040308,Brussels Hoofdstedelijk Gewest
77.0,,Blvd. de la constitution,19.0,4020,Liège,Liège,,,,,"Blvd. de la constitution, 4020 Liège, Liège",50.6441832,5.5882429,49.68526,5.71206,Provincie Luxemburg
78.0,,Place de la république française ,,4000,Liège,Liège,,,,,"Place de la république française , 4000 Liège, Liège",50.6434288,5.5718235,51.039408,3.731184,Provincie Oost-Vlaanderen
79.0,,Rue darchis,33.0,4020,Liège,Liège,,,,,"Rue darchis, 4020 Liège, Liège",50.6370996,5.5649557,50.622595,3.35509,Provincie Henegouwen
86.0,,Schumanplein,11.0,1040,Brussel,Bruxelles-brussel,,,,,"Schumanplein, 1040 Brussel, Bruxelles-brussel",50.8421891,4.3835297,50.922064500000005,4.762743,Provincie Vlaams-Brabant
87.0,,Uitbreidingstraat,,2600,Berchem,Antwerpen,,,,,"Uitbreidingstraat, 2600 Berchem, Antwerpen",51.1967334,4.4294545,51.23953,4.96585,Provincie Antwerpen
95.0,,Peperstraat,2.0,3300,Tienen,Vlaams-brabant,,Y,,,"Peperstraat, 3300 Tienen, Vlaams-brabant",50.8065188,4.9375261,50.58859,5.87058,Provincie Luik
96.0,,Graafschap-jettelaan,2.0,1090,Brussel,Bruxelles-brussel,,,,,"Graafschap-jettelaan, 1090 Brussel, Bruxelles-brussel",50.8830257,4.3333836,50.967724,3.025762,Provincie West-Vlaanderen
97.0,,Sint-pieterskerstraat,,1090,Brussel,Bruxelles-brussel,,,,,"Sint-pieterskerstraat, 1090 Brussel, Bruxelles-brussel",50.8802534,4.3250605,50.87236333333333,5.513723333333333,Provincie Limburg
98.0,,Wemmelsestweg,100.0,1090,Brussel,Bruxelles-brussel,,,,,"Wemmelsestweg, 1090 Brussel, Bruxelles-brussel",50.8747739,4.3314996,50.48498,3.8359,Provincie Henegouwen
100.0,,Rue pietro ferrero,5.0,6700,Arlon,Luxembourg,,N,,,"Rue pietro ferrero, 6700 Arlon, Luxembourg",49.6745435,5.818557,49.91709,5.40049,Provincie Luxemburg
101.0,,Tweestationsstraat,80.0,1070,Brussel,Bruxelles-brussel,,,,,"Tweestationsstraat, 1070 Brussel, Bruxelles-brussel",50.8314212,4.3222147,50.44189,4.35776,Provincie Henegouwen
102.0,,Nieuwe weg ,1.0,2070,Zwijndrecht,Antwerpen,,Y,,,"Nieuwe weg , 2070 Zwijndrecht, Antwerpen",51.2398636,4.3272098,51.1113605,2.6353125,Provincie West-Vlaanderen
111.0,,Hermeslaan,2.0,1831,Machelenbt),Vlaams-brabant,,,,,"Hermeslaan, 1831 Machelenbt), Vlaams-brabant",50.8819608,4.441951,51.211458,4.256965,Provincie Oost-Vlaanderen
115.0,,Gemeenteplein,1.0,3798,Voeren  s gravenvoeren,Limburg,,Y,,,"Gemeenteplein, 3798 Voeren  s gravenvoeren, Limburg",50.7597774,5.7596643,50.881868,3.35894,Provincie West-Vlaanderen
116.0,,Remersdaal-dorp,1.0,3791,Remersdaal,Limburg,,,,,"Remersdaal-dorp, 3791 Remersdaal, Limburg",50.7297617,5.8785602,51.24787,5.43922,Provincie Limburg
117.0,,Sint-pieterstraat ,20.0,3792,Sint-pieters-voeren,Limburg,,Y,,,"Sint-pieterstraat , 3792 Sint-pieters-voeren, Limburg",50.7353624,5.8246102,50.63562,5.13995,Provincie Luik
118.0,,Kerkplein,1.0,3790,Moelingen,Limburg,,Y,,,"Kerkplein, 3790 Moelingen, Limburg",50.7572831,5.7107026,50.85413307016667,4.313577483516667,Brussels Hoofdstedelijk Gewest
119.0,,Gieveldstraat,,3793,Teuven,Limburg,,Y,,,"Gieveldstraat, 3793 Teuven, Limburg",50.7518324,5.8759546,51.251006,2.973363,Provincie West-Vlaanderen
120.0,,Kerkstraat,1.0,3790,Voeren,Limburg,,Y,,,"Kerkstraat, 3790 Voeren, Limburg",50.7488563,5.812563,50.09254,4.67111,Provincie Namen
167.0,,Vanhalstraat,1.0,1500,Halle,Vlaams-brabant,,y,,,"Vanhalstraat, 1500 Halle, Vlaams-brabant",50.73248479999999,4.234912899999999,50.53319333333333,4.597546666666667,Provincie Namen
170.0,,Brikkenovenstraat,48.0,3600,Genk,Limburg,,N,,,"Brikkenovenstraat, 3600 Genk, Limburg",50.9792712,5.4711585,51.27538,4.68568,Provincie Antwerpen
214.0,,Rue de l église,,1150,Bruxelles,Bruxelles-brussel,,,,,"Rue de l église, 1150 Bruxelles, Bruxelles-brussel",50.8407211,4.4634331,51.24845,4.4387075,Provincie Antwerpen
218.0,,Cours des mineurs,,4000,Liège,Liège,,,,,"Cours des mineurs, 4000 Liège, Liège",50.6472929,5.5760923,50.652365,5.5939250000000005,Provincie Luik
219.0,,Rue des croisiers,15.0,4000,Liège,Liège,,,,,"Rue des croisiers, 4000 Liège, Liège",50.6393547,5.5761561,50.27726,6.25751,Provincie Luik
220.0,,Rue de l école technique ,,4040,Herstal,Liège,,,,,"Rue de l école technique , 4040 Herstal, Liège",50.6715508,5.6402438,50.793163,3.748383,Provincie Oost-Vlaanderen
221.0,,Rue de wallonie,30.0,4460,Bierset,Liège,,,,,"Rue de wallonie, 4460 Bierset, Liège",50.653661,5.4888011,50.20926,5.3351,Provincie Luxemburg
222.0,,Rue paul d andrimont,24.0,4630,Micheroux,Liège,,,,,"Rue paul d andrimont, 4630 Micheroux, Liège",50.6258166,5.7163815,50.83189,4.986649,Provincie Vlaams-Brabant
223.0,,Bd. léon philippet,83.0,4000,Liège,Liège,,,,,"Bd. léon philippet, 4000 Liège, Liège",50.6527913,5.5594107,51.20485266666667,3.4499323333333334,Provincie Oost-Vlaanderen
224.0,,Rue du commerce,14.0,4100,Seraing,Liège,,,,,"Rue du commerce, 4100 Seraing, Liège",50.6126943,5.5083713,51.13352,5.073,Provincie Antwerpen
225.0,,Rue peetermans,80.0,4100,Seraing,Liège,,,,,"Rue peetermans, 4100 Seraing, Liège",50.6117019,5.5101966,50.70596,4.527895,Provincie Waals-Brabant
226.0,,Rue j. stassart,15.0,4367,Crisnée,Liège,,,,,"Rue j. stassart, 4367 Crisnée, Liège",50.7081407,5.3898948,51.03858,5.55067,Provincie Limburg
227.0,,Route de dinant,119.0,4020,Liège,Liège,,,,,"Route de dinant, 4020 Liège, Liège",50.6415737,5.5823234,50.750725,3.20668,Provincie Henegouwen
228.0,,Rue de huy,123.0,4300,Waremme,Liège,,,,,"Rue de huy, 4300 Waremme, Liège",50.6743418,5.2512582,50.426955,4.4937249999999995,Provincie Henegouwen
229.0,,Rue de sélys,35.0,4300,Waremme,Liège,,,,,"Rue de sélys, 4300 Waremme, Liège",50.6906196,5.2420853,51.094986,4.155774,Provincie Oost-Vlaanderen
230.0,,Rue st. pierre,48.0,4500,Huy,Liège,,,,,"Rue st. pierre, 4500 Huy, Liège",50.5224312,5.2355908,50.6081525,4.1387625,Provincie Henegouwen
231.0,,Avenue delchambre,6.0,4500,Huy,Liège,,,,,"Avenue delchambre, 4500 Huy, Liège",50.5212782,5.2402073,50.19161,4.26428,Provincie Henegouwen
232.0,,Rue lambert marlet,23.0,4020,Liège,Liège,,,,,"Rue lambert marlet, 4020 Liège, Liège",50.6844201,5.7233941,51.001551,4.498832,Provincie Vlaams-Brabant
233.0,,Rue aux laines,69.0,4800,Verviers,Liège,,,,,"Rue aux laines, 4800 Verviers, Liège",50.5891081,5.8515833,51.00462,3.886907,Provincie Oost-Vlaanderen
234.0,,Rue av. peltzer,40.0,4020,Liège,Liège,,,,,"Rue av. peltzer, 4020 Liège, Liège",50.6423532,5.6279411,50.31758,5.55496,Provincie Luxemburg
235.0,,Route du canada,157.0,4910,La reid,Liège,,,,,"Route du canada, 4910 La reid, Liège",50.4893888,5.790589,50.750685,2.94542,Provincie Henegouwen
238.0,,Route de botrange,131.0,4950,Robertville,Liège,,,,,"Route de botrange, 4950 Robertville, Liège",50.4907832,6.1058516,51.07803,4.32315,Provincie Antwerpen
240.0,,Avenue montesquieu,6.0,4101,Jemeppe-sur-meuse,Liège,,,,,"Avenue montesquieu, 4101 Jemeppe-sur-meuse, Liège",50.6189796,5.5151582,50.986695,5.7140175,Provincie Limburg
242.0,,Rue grand puits,,4040,Herstal,Liège,,,,,"Rue grand puits, 4040 Herstal, Liège",50.6716874,5.6393763,50.768823999999995,4.320907,Provincie Vlaams-Brabant
259.0,,Rue de la bouviere,1.0,4190,Vieuxville,Liège,,,,,"Rue de la bouviere, 4190 Vieuxville, Liège",50.39379,5.54955,49.79712,5.06826,Provincie Luxemburg
275.0,,Da vincilaan,,1930,Zaventem,Vlaams-brabant,,,,,"Da vincilaan, 1930 Zaventem, Vlaams-brabant",50.8892246,4.4591702,51.315903,3.209114,Provincie West-Vlaanderen
277.0,Appareil Mobile- Mobiel apparaat,Adriaan brouwerstraat,24.0,2000,Antwerpen,Antwerpen,,,,,"Adriaan brouwerstraat, 2000 Antwerpen, Antwerpen",51.2275756,4.4034814,50.978997,3.5320753333333337,Provincie Oost-Vlaanderen
282.0,,Kempenarestraat,53.0,2860,Sint-katelijne-waver,Antwerpen,,Y,,,"Kempenarestraat, 2860 Sint-katelijne-waver, Antwerpen",51.0640782,4.5193812,51.03695,4.86232,Provincie Antwerpen
310.0,,Koninginnelaan,1.0,8400,Oostende,West-vlaanderen,,,,,"Koninginnelaan, 8400 Oostende, West-vlaanderen",51.2226732,2.9116038,50.63102333333333,6.031266666666666,Provincie Luik
311.0,,Northlaan,13.0,8400,Oostende,West-vlaanderen,,,,,"Northlaan, 8400 Oostende, West-vlaanderen",51.2180627,2.8892599,51.117905,5.26451,Provincie Limburg
312.0,,Kursaal-oosthelling,12.0,8400,Oostende,West-vlaanderen,,,,,"Kursaal-oosthelling, 8400 Oostende, West-vlaanderen",51.232146,2.9126781,50.51779,5.24259,Provincie Luik
